ids,Station_Prox,bedrooms_model,bathrooms_model,compass,borough_name,propertySubType,tenure.tenureType,tenure.yearsRemainingOnLease,address.outcode,address.incode,location.latitude,location.longitude,analyticsProperty.added,analyticsProperty.auctionOnly,analyticsProperty.minSizeFt,analyticsProperty.maxSizeFt,prices.pricePerSqFt,analyticsProperty.ownership,analyticsProperty.preOwned,analyticsProperty.priceQualifier,analyticsProperty.soldSTC,Price
123171899,0.6,3.0,2.0,N,Enfield,Apartment,LEASEHOLD,,N21,1JH,51.639738,-0.111822,20220509,False,,,,Non-shared ownership,Resale,Offers Over,False,475000.0
85461000,0.6,3.0,1.0,EN,Enfield,Terraced,,,EN8,8HW,51.680699,-0.04583,20220607,False,,,,Non-shared ownership,Resale,None,False,375000.0
85174740,0.4,2.0,1.0,EN,Enfield,Semi-Detached,FREEHOLD,,EN3,6LJ,51.678833,-0.029207,20220505,False,,,,Non-shared ownership,Resale,Offers in Region of,True,375000.0
124007903,0.2,2.0,1.0,N,Enfield,Apartment,LEASEHOLD,,N14,6BZ,51.630846,-0.125552,20220617,False,,,,Non-shared ownership,Resale,None,False,375000.0
85614570,0.2,1.0,1.0,N,Enfield,Flat,LEASEHOLD,,N13,4RJ,51.620688,-0.112003,20220611,False,,,,Non-shared ownership,Resale,Offers in Excess of,False,375000.0
118108805,0.2,2.0,1.0,N,Enfield,Terraced,FREEHOLD,,N18,1QL,51.617275,-0.075209,20211228,False,,,,Non-shared ownership,Resale,Offers in Excess of,True,375000.0
120952943,0.5,2.0,1.0,N,Enfield,Apartment,LEASEHOLD,,N13,5RJ,51.621295,-0.100608,20220311,False,,,,Non-shared ownership,Resale,Offers Over,False,375000.0
123341222,0.1,2.0,2.0,N,Enfield,Flat,LEASEHOLD,,N11,1PN,51.615078,-0.142161,20220513,False,775.0,775.0,£483.87 per sq. ft.,Non-shared ownership,Resale,Offers in Excess of,False,375000.0
85342038,0.2,2.0,1.0,N,Enfield,Maisonette,LEASEHOLD,961.0,N13,4HX,51.61668,-0.11245,20220518,False,,,,Non-shared ownership,Resale,Guide Price,False,375000.0
109661510,0.5,3.0,1.0,N,Enfield,Flat,SHARE_OF_FREEHOLD,,N13,4DP,51.62462,-0.10302,20210629,False,,,,Non-shared ownership,Resale,None,True,375000.0
