ids,Description,Price,borough
22771765,3 bedroom apartment for sale,3500000.0,"('City of London', '5E61224')"
9560768,2 bedroom maisonette for sale,330000.0,"('Sutton', '5E93974')"
12020119,1 bedroom flat for sale,630000.0,"('City of London', '5E61224')"
39391667,2 bedroom apartment for sale,1600000.0,"('City of London', '5E61224')"
86371149,1 bedroom retirement property for sale,169950.0,"('Sutton', '5E93974')"
64902564,2 bedroom flat for sale,250000.0,"('Sutton', '5E93974')"
59307302,2 bedroom apartment for sale,300000.0,"('Sutton', '5E93974')"
88973802,2 bedroom apartment for sale,POA,
989476,2 bedroom apartment for sale,1990000.0,"('City of London', '5E61224')"
92567758,Studio flat for sale,595000.0,"('City of London', '5E61224')"
79471857,2 bedroom flat for sale,290000.0,"('Sutton', '5E93974')"
4543038,2 bedroom apartment for sale,315000.0,"('Sutton', '5E93974')"
33489375,2 bedroom apartment for sale,1190000.0,"('City of London', '5E61224')"
23595456,2 bedroom flat for sale,250000.0,"('Sutton', '5E93974')"
94874599,1 bedroom flat for sale,259950.0,"('Sutton', '5E93974')"
21423238,1 bedroom flat for sale,810000.0,
2333953,2 bedroom flat for sale,1500000.0,
62154833,3 bedroom maisonette for sale,290000.0,"('Sutton', '5E93974')"
83222931,2 bedroom maisonette for sale,270000.0,"('Sutton', '5E93974')"
90651590,1 bedroom apartment for sale,95000.0,"('Sutton', '5E93974')"
29463327,1 bedroom apartment for sale,825000.0,"('City of London', '5E61224')"
26459095,2 bedroom flat for sale,225000.0,"('Sutton', '5E93974')"
10968404,2 bedroom flat for sale,300000.0,"('Sutton', '5E93974')"
10837172,2 bedroom apartment for sale,195000.0,"('Sutton', '5E93974')"
48159986,1 bedroom flat for sale,190000.0,"('Sutton', '5E93974')"
53456894,2 bedroom apartment for sale,1695000.0,"('City of London', '5E61224')"
18339094,3 bedroom apartment for sale,470000.0,"('Sutton', '5E93974')"
90393893,1 bedroom retirement property for sale,227500.0,"('Sutton', '5E93974')"
35255780,2 bedroom penthouse for sale,1900000.0,"('City of London', '5E61224')"
12374119,2 bedroom apartment for sale,1875000.0,"('City of London', '5E61224')"
18184281,1 bedroom apartment for sale,900000.0,"('City of London', '5E61224')"
59729065,1 bedroom flat for sale,288000.0,"('Sutton', '5E93974')"
71374056,1 bedroom flat for sale,240000.0,"('Sutton', '5E93974')"
54776835,1 bedroom flat for sale,675000.0,"('City of London', '5E61224')"
74554660,1 bedroom flat for sale,960000.0,"('City of London', '5E61224')"
