ids,Station_Prox,type,bedrooms,bathrooms,size,other_key_info,bullet_points,station_info,hold_type,short_description,long_description
56750146,0.1,,,,,,,,,,
25747306,0.1,Detached,3.0,5.0,"6,605 sq. ft.;(614 sq. m.)",,,,,,
83044259,0.0,Apartment,1.0,1.0,,,,,,,
77922100,0.1,Penthouse,3.0,3.0,,,,,,,
22562301,0.2,Apartment,1.0,1.0,,,,,,,
48698776,0.2,Apartment,1.0,1.0,503 sq. ft.;(47 sq. m.),,,,,,
82567517,0.1,Apartment,1.0,1.0,,,,,,,
3167404,0.1,Flat,1.0,,622 sq. ft.;(58 sq. m.),,,,,,
51616668,0.2,Apartment,3.0,2.0,,,,,,,
58927743,0.1,Apartment,1.0,1.0,,,,,,,
97772464,0.2,Studio,,1.0,,,,,,,
25113424,0.1,Flat,1.0,1.0,,,,,,,
69717583,0.1,Flat,3.0,2.0,,,,,,,
7216544,0.1,Apartment,1.0,1.0,745 sq. ft.;(69 sq. m.),,,,,,
33489375,0.1,Apartment,2.0,2.0,,,,,,,
11939078,0.1,Apartment,,1.0,,,,,,,
22783989,0.1,Flat,3.0,3.0,,,,,,,
84259908,0.1,Apartment,1.0,2.0,,,,,,,
82377127,0.2,Apartment,1.0,1.0,,,,,,,
34489300,0.0,Hotel Room,1.0,1.0,,,,,,,
33956269,0.2,Flat,1.0,1.0,538 sq. ft.;(50 sq. m.),,,,,,
92567758,0.1,Studio,,,412 sq. ft.;(38 sq. m.),,,,,,
56179893,0.1,Apartment,,1.0,,,,,,,
24109554,0.1,Flat,1.0,1.0,,,,,,,
10321689,0.1,Apartment,1.0,1.0,,,,,,,
85200768,0.0,Hotel Room,1.0,1.0,,,,,,,
3168902,0.2,Apartment,5.0,3.0,,,,,,,
45863495,0.1,Penthouse,2.0,2.0,,,,,,,
55375648,0.0,Hotel Room,1.0,1.0,,,,,,,
9627692,0.1,Studio,,1.0,,,,,,,
8107200,0.0,Hotel Room,1.0,1.0,,,,,,,
86180637,0.1,Flat,2.0,2.0,,,,,,,
279553,0.0,Hotel Room,1.0,1.0,,,,,,,
38909194,0.0,Hotel Room,1.0,1.0,,,,,,,
62818577,0.0,Hotel Room,1.0,1.0,,,,,,,
27574268,0.0,Hotel Room,1.0,1.0,,,,,,,
11612220,0.0,Hotel Room,1.0,1.0,,,,,,,
31998314,0.1,Flat,1.0,1.0,593 sq. ft.;(55 sq. m.),,,,,,
48564956,0.0,Hotel Room,1.0,1.0,,,,,,,
13878352,0.2,Apartment,2.0,2.0,,,,,,,
26502200,0.0,Hotel Room,1.0,1.0,,,,,,,
88853683,0.1,Flat,2.0,2.0,,,,,,,
58574168,0.1,Apartment,1.0,1.0,,,,,,,
31980020,0.1,Flat,5.0,,,,,,,,
93483871,0.1,Apartment,1.0,1.0,,,,,,,
98454366,0.2,Flat,2.0,2.0,999 sq. ft.;(93 sq. m.),,,,,,
25191110,0.2,Apartment,1.0,1.0,,,,,,,
5925342,0.1,Apartment,3.0,3.0,,,,,,,
19686145,0.1,Apartment,1.0,1.0,,,,,,,
85573031,0.1,Apartment,1.0,1.0,783 sq. ft.;(73 sq. m.),,,,,,
76634810,0.1,Flat,3.0,2.0,,,,,,,
82407140,0.0,Flat,2.0,2.0,,,,,,,
50510768,0.1,Apartment,2.0,2.0,,,,,,,
91885163,0.0,Penthouse,3.0,2.0,,,,,,,
42253297,0.2,Flat,1.0,,828 sq. ft.;(77 sq. m.),,,,,,
25704597,0.2,Flat,3.0,2.0,,,,,,,
40763275,0.3,Flat,1.0,1.0,,,,,,,
67931586,0.1,Apartment,2.0,2.0,,,,,,,
11613219,0.2,Apartment,1.0,1.0,,,,,,,
50896345,0.2,Flat,1.0,1.0,849 sq. ft.;(79 sq. m.),,,,,,
2550347,0.1,Flat,2.0,,900 sq. ft.;(84 sq. m.),,,,,,
70287469,0.1,Flat,2.0,2.0,,,,,,,
87285405,0.1,Flat,2.0,2.0,,,,,,,
30932490,0.1,Apartment,2.0,2.0,,,,,,,
29463327,0.1,Apartment,1.0,1.0,579 sq. ft.;(54 sq. m.),,,,,,
88584446,0.2,Flat,1.0,1.0,825 sq. ft.;(77 sq. m.),,,,,,
15369073,0.1,Flat,2.0,2.0,,,,,,,
64972697,0.1,Apartment,1.0,1.0,420 sq. ft.;(39 sq. m.),,,,,,
64721556,0.0,Apartment,3.0,1.0,,,,,,,
57162075,0.0,Apartment,3.0,2.0,,,,,,,
21986725,0.2,Penthouse,2.0,1.0,,,,,,,
73014851,0.2,Apartment,2.0,2.0,,,,,,,
50762073,0.2,Flat,3.0,2.0,,,,,,,
38772029,0.2,Apartment,1.0,1.0,693 sq. ft.;(64 sq. m.),,,,,,
30404046,0.1,Flat,1.0,1.0,,,,,,,
59101244,0.1,Apartment,2.0,2.0,,,,,,,
89425062,0.2,Studio,,1.0,,,,,,,
85653557,0.1,Apartment,3.0,3.0,"2,893 sq. ft.;(269 sq. m.)",,,,,,
11616442,0.2,Apartment,1.0,1.0,,,,,,,
9064204,0.2,Flat,1.0,1.0,,,,,,,
38655416,0.1,Flat,2.0,2.0,,,,,,,
57000901,0.1,Apartment,4.0,2.0,"1,118 sq. ft.;(104 sq. m.)",,,,,,
40027411,0.2,Apartment,1.0,1.0,,,,,,,
49257727,0.1,Flat,1.0,1.0,,,,,,,
62115264,0.1,Flat,,1.0,,,,,,,
636065,0.1,Flat,3.0,2.0,,,,,,,
30642939,0.2,Flat,2.0,2.0,,,,,,,
40430632,0.2,Flat,2.0,2.0,,,,,,,
48601041,0.1,Apartment,,1.0,454 sq. ft.;(42 sq. m.),,,,,,
85499360,0.1,Apartment,3.0,4.0,"1,770 sq. ft.;(164 sq. m.)",,,,,,
76920758,0.2,Apartment,2.0,2.0,,{},,,,,
78176934,0.1,Apartment,1.0,1.0,,{},,,,,
76484230,0.2,Apartment,1.0,1.0,,{},,,,,
12020119,0.2,Flat,1.0,1.0,469 sq. ft.;(44 sq. m.),{},,,,,
18184281,0.2,Apartment,1.0,1.0,795 sq. ft.;(74 sq. m.),{},,,,,
13010181,0.1,Flat,1.0,,,{},,,,,
86065927,0.1,Apartment,1.0,1.0,,{},,,,,
53456894,0.1,Apartment,2.0,,,{},,,,,
12374119,0.1,Apartment,2.0,2.0,,{},,,,,
35255780,0.1,Penthouse,2.0,1.0,,{},,,,,
77556206,0.2,Apartment,3.0,2.0,,{},,,,,
42759235,0.1,Flat,3.0,,,{},,,,,
60502818,0.2,Apartment,1.0,1.0,,{},,,,,
37491408,0.1,Apartment,3.0,2.0,,{},,,,,
15890672,0.1,Flat,1.0,1.0,,{},,,,,
75784353,0.1,Apartment,1.0,1.0,,{},,,,,
71399903,0.1,Apartment,2.0,1.0,,{},,,,,
97444187,0.1,Apartment,2.0,1.0,,{},,,,,
56964979,0.1,Flat,2.0,1.0,646 sq. ft.;(60 sq. m.),{},,,,,
77926648,0.1,Flat,1.0,1.0,,{},,,,,
84508064,0.1,Flat,1.0,1.0,,{},,,,,
71779917,0.1,Apartment,2.0,2.0,,{},,,,,
22079321,0.1,Apartment,1.0,1.0,,{},,,,,
86203702,0.1,Apartment,2.0,2.0,,{},,,,,
50202397,0.2,Apartment,1.0,1.0,,{},,,,,
3348488,0.3,Flat,1.0,1.0,485 sq. ft.;(45 sq. m.),{},,,,,
29835113,0.2,Flat,1.0,1.0,,{},,,,,
