new_id,Description,Price,add_info
6846,3 bedroom semi-detached house for sale,575000.0,"Added on 21/03/2022 by Hunters, Hillingdon"
3883,3 bedroom apartment for sale,550000.0,"Added on 07/07/2022 by Coopers, Ickenham"
10856,3 bedroom end of terrace house for sale,515000.0,"Added on 13/07/2022 by Hunters, Hayes"
9647,2 bedroom terraced house for sale,550000.0,"Reduced on 01/04/2022 by Kinleigh Folkard & Hayward - Sales, Canada Water"
8914,2 bedroom apartment for sale,525000.0,"Added on 23/05/2022 by eXp UK, London"
8398,2 bedroom flat for sale,525000.0,"Added on 11/01/2022 by Acorn, Peckham Rye"
4753,2 bedroom flat for sale,500000.0,"Reduced on 20/06/2022 by ludlowthompson, Dulwich - Sales"
9739,2 bedroom flat for sale,600000.0,"Reduced on 30/05/2022 by Dexters, Richmond"
10834,1 bedroom flat for sale,525000.0,"Added on 27/08/2021 by James Anderson, Barnes - Sales"
3042,1 bedroom flat for sale,495000.0,"Added on 28/04/2022 by Dexters, Richmond"
11459,2 bedroom apartment for sale,475000.0,"Added on 28/06/2022 by Chase Buchanan, Twickenham & Strawberry Hill"
4104,2 bedroom apartment for sale,425000.0,"Reduced on 16/06/2022 by Winkworth, Dulwich"
5679,2 bedroom apartment for sale,425000.0,"Added on 10/01/2022 by haart, Dulwich"
4023,2 bedroom flat for sale,450000.0,"Added on 28/06/2022 by The Modern House, London"
11386,2 bedroom flat for sale,425000.0,"Added on 22/04/2022 by Foxtons, Twickenham"
4245,1 bedroom flat for sale,395000.0,"Added on 07/03/2022 by W. Hallett & Co, Kew"
9753,1 bedroom flat for sale,585000.0,"Added on 20/06/2022 by Foxtons, Canary Wharf"
7282,4 bedroom terraced house for sale,600000.0,"Added on 19/04/2022 by Purplebricks, covering East London"
3439,1 bedroom apartment for sale,495000.0,Added on 25/05/2022 by Vistry Partnerships London
12139,3 bedroom end of terrace house for sale,490000.0,"Reduced on 04/05/2022 by Reeds Rains, Plaistow"
10737,2 bedroom apartment for sale,475000.0,"Reduced on 26/12/2021 by Stirling Ackroyd, New Homes"
4077,1 bedroom apartment for sale,460000.0,"Added on 21/04/2022 by JOHNS&CO, Royal Wharf"
11215,3 bedroom flat for sale,450000.0,"Reduced on 19/01/2022 by Bairstow Eves, Stratford"
11845,2 bedroom terraced house for sale,400000.0,"Added on 17/03/2022 by Alex Neil Estate Agents, Bow & Bethnal Green - Sales"
7171,2 bedroom terraced house for sale,375000.0,"Added on 22/02/2022 by Aston Fox, Eastham"
7672,1 bedroom flat for sale,365000.0,"Added on 26/05/2022 by James Anderson, Barnes - Sales"
3772,2 bedroom flat for sale,170000.0,"Added on 21/06/2022 by Pattinson Estate Agents, Auction"
9544,1 bedroom apartment for sale,299950.0,"Added on 17/01/2022 by Stack & Bonner, Kingston Upon Thames"
10367,1 bedroom flat for sale,599950.0,"Added on 02/06/2021 by Garton Jones, Nine Elms & Vauxhall"
7043,3 bedroom flat for sale,600000.0,"Reduced on 09/06/2022 by Kinleigh Folkard & Hayward - Sales, Clapham"
5472,3 bedroom terraced house for sale,600000.0,"Added on 08/06/2022 by Galloways, West Norwood"
10382,2 bedroom apartment for sale,425000.0,"Added on 01/02/2022 by Felicity J Lord, Covering Brockley"
4217,2 bedroom flat for sale,450000.0,"Reduced on 08/03/2022 by Kinleigh Folkard & Hayward - Sales, Wimbledon"
10986,1 bedroom apartment for sale,435000.0,"Added on 19/05/2022 by Hawes & Co, Wimbledon"
8470,3 bedroom maisonette for sale,415000.0,"Added on 24/01/2022 by Yopa, London"
9933,2 bedroom apartment for sale,410000.0,"Reduced on 13/05/2022 by Purplebricks, covering South East London"
9330,2 bedroom flat for sale,415000.0,"Reduced on 29/10/2021 by Aucoot, London"
7163,2 bedroom flat for sale,565000.0,"Added on 17/06/2022 by Foxtons, Brixton"
9780,3 bedroom apartment for sale,350000.0,"Added on 31/03/2022 by Oliver Jaques, Surrey Quays"
7686,2 bedroom terraced house for sale,375000.0,"Reduced on 14/04/2022 by Goodfellows, Mitcham"
4785,1 bedroom apartment for sale,340000.0,"Reduced on 21/03/2022 by Purplebricks New Homes, Nationwide"
11887,2 bedroom apartment for sale,525000.0,"Reduced yesterday by Savills, Northcote Road"
9734,1 bedroom flat for sale,269999.0,"Reduced on 09/02/2022 by Samuel King, Canning Town"
5587,1 bedroom flat for sale,285000.0,"Added on 27/06/2022 by Ellisons, Morden"
11679,2 bedroom apartment for sale,260000.0,"Added on 25/02/2022 by Goodfellows, Morden"
11424,2 bedroom ground floor flat for sale,450000.0,"Added on 22/04/2022 by Fish Need Water, London"
3136,1 bedroom apartment for sale,250000.0,"Added on 06/12/2021 by Conran Estates, Brockley"
11820,2 bedroom apartment for sale,375000.0,"Reduced on 16/11/2021 by Marsh & Parsons, Balham & Clapham South"
7041,2 bedroom apartment for sale,375000.0,"Reduced on 15/03/2022 by EO ESTATE AGENTS, South London"
6172,2 bedroom apartment for sale,350000.0,"Reduced on 22/10/2021 by haart, Brixton"
5311,1 bedroom apartment for sale,180000.0,"Added on 24/06/2022 by Strettons Auctions, London"
10159,1 bedroom ground floor flat for sale,225000.0,"Reduced on 30/05/2022 by Edmund Estate Agents, Bromley"
6169,1 bedroom apartment for sale,300000.0,"Reduced on 04/02/2022 by Marsh & Parsons, Kennington"
5999,2 bedroom maisonette for sale,459950.0,"Reduced on 25/04/2022 by Brinkley's Estate Agents, Wimbledon Park and Southfields"
9034,2 bedroom apartment for sale,465000.0,"Added on 31/05/2022 by Greenfield Estate Agents, Surbiton"
5982,2 bedroom apartment for sale,425000.0,"Added on 14/04/2022 by Curchods Estate Agents, Kingston"
9488,3 bedroom semi-detached house for sale,550000.0,"Added on 10/12/2021 by Frost Estate Agents, Purley"
5273,2 bedroom bungalow for sale,525000.0,"Added on 03/03/2022 by Rayners Town & Country, Warlingham"
8162,2 bedroom flat for sale,599995.0,"Added on 29/06/2022 by John Payne, Blackheath Standard"
12182,3 bedroom semi-detached house for sale,495000.0,"Added on 21/03/2022 by John Brown Mark Youll, Old Coulsdon"
11597,3 bedroom flat for sale,550000.0,"Added on 06/04/2022 by Keller Williams London Bridge, London"
10596,4 bedroom town house for sale,465000.0,"Reduced on 07/07/2022 by Bairstow Eves, Selsdon"
7665,2 bedroom apartment for sale,510000.0,"Reduced on 06/06/2022 by Stirling Ackroyd, Ealing"
2983,2 bedroom apartment for sale,500000.0,"Added on 12/10/2021 by Northfields, The Broadway - Sales"
10536,4 bedroom town house for sale,500000.0,"Added on 14/03/2022 by Purplebricks, covering Southall"
12357,3 bedroom terraced house for sale,450000.0,"Reduced on 01/02/2022 by Irwin Scott, New Eltham"
6766,3 bedroom property for sale,450000.0,"Added on 13/04/2022 by Robinson Jackson, Eltham"
7366,1 bedroom flat for sale,450000.0,"Added on 25/01/2022 by Frost Estate Agents, Purley"
7980,2 bedroom flat for sale,448000.0,"Added on 25/05/2022 by Bairstow Eves, Croydon"
12325,2 bedroom maisonette for sale,455000.0,"Added on 09/06/2022 by Saints Estate Consultancy, Ealing"
10576,2 bedroom flat for sale,400000.0,"Added on 06/07/2022 by Christopher St James, Colliers Wood"
9817,2 bedroom maisonette for sale,409995.0,"Added on 25/04/2022 by Benson & Partners, Croydon"
10957,2 bedroom apartment for sale,400000.0,"Reduced on 27/04/2022 by Move Revolution, Covering Surrey/Sussex"
5251,3 bedroom terraced house for sale,400000.0,"Added on 30/06/2022 by Choices, Croydon"
7511,3 bedroom terraced house for sale,399950.0,"Added on 20/06/2022 by Hallways Estates, Croydon"
10227,2 bedroom apartment for sale,399000.0,"Reduced on 24/05/2022 by 1st Avenue, Surrey"
9971,1 bedroom apartment for sale,595000.0,"Added on 01/07/2021 by Statons New Homes Showcase, Barnet"
5839,2 bedroom apartment for sale,429950.0,"Added on 10/05/2022 by Stirling Ackroyd, Ealing"
6343,2 bedroom apartment for sale,432000.0,Added on 10/06/2022 by Redrow Homes
3333,2 bedroom end of terrace house for sale,385000.0,"Added on 06/06/2022 by Mann, Croydon"
8245,3 bedroom end of terrace house for sale,375000.0,"Reduced on 07/04/2022 by Stirling Ackroyd, Croydon"
10271,2 bedroom terraced house for sale,385000.0,"Added on 03/05/2022 by Tony Paul, Northolt Village"
3955,2 bedroom flat for sale,380000.0,"Reduced on 20/12/2021 by Robertson Smith & Kempson, Hanwell"
11350,3 bedroom detached house for sale,600000.0,"Added on 13/05/2022 by Churchill Estates, Wanstead"
7285,4 bedroom terraced house for sale,480000.0,"Added on 05/04/2022 by Ramsey Moore, Dagenham"
7430,3 bedroom semi-detached house for sale,500000.0,"Added on 08/06/2022 by Brian Thomas Estate Agents, Chadwell Heath"
6035,5 bedroom terraced house for sale,475000.0,"Reduced on 17/01/2022 by Payne & Co, Ilford"
5831,3 bedroom terraced house for sale,475000.0,"Added on 06/05/2022 by Sandra Davidson Estate Agents, Seven Kings"
9966,1 bedroom flat for sale,575000.0,"Reduced on 20/06/2022 by Dexters, Hyde Park & Bayswater"
9528,2 bedroom flat for sale,350000.0,"Added on 30/06/2022 by Purplebricks, covering East London"
3908,2 bedroom apartment for sale,350000.0,"Added on 15/09/2021 by Alter & Cope, London"
7477,1 bedroom apartment for sale,600000.0,"Added on 01/06/2022 by Marsh & Parsons, Battersea"
11478,1 bedroom apartment for sale,525000.0,"Added on 23/08/2021 by Garton Jones, London"
9784,1 bedroom apartment for sale,500000.0,"Added on 15/02/2022 by Radstock Property, Central & South West London"
4200,1 bedroom flat for sale,300000.0,"Added on 29/12/2021 by Keatons, Wanstead"
4731,Studio flat for sale,395000.0,"Reduced on 30/05/2022 by Foxtons, Pimlico"
3171,3 bedroom apartment for sale,425000.0,"Added on 25/04/2022 by Barnard Marcus, Putney"
7804,2 bedroom flat for sale,425000.0,"Added on 08/06/2022 by BidX1, London"
11639,1 bedroom flat for sale,425000.0,"Added on 29/04/2022 by Dexters, Putney"
12424,Property for sale,575000.0,"Added on 29/04/2022 by Stirling Ackroyd, New Homes"
10863,2 bedroom apartment for sale,492500.0,"Added on 19/05/2022 by Dockleys, London"
10722,1 bedroom apartment for sale,499999.0,"Reduced on 27/01/2020 by Alliance London, London"
3623,5 bedroom terraced house for sale,600000.0,"Added on 21/06/2022 by haart, covering Loughton"
8888,2 bedroom apartment for sale,450000.0,"Added on 17/06/2022 by Stirling Ackroyd, Canary Wharf"
12450,2 bedroom apartment for sale,505000.0,Added on 24/06/2022 by L&Q London
7824,3 bedroom terraced house for sale,535000.0,"Added on 01/06/2022 by The Stow Brothers, Highams Park"
4053,1 bedroom apartment for sale,400000.0,"Reduced on 12/10/2021 by Life Residential, Royal Wharf - Sales"
3830,1 bedroom flat for sale,399995.0,"Added on 04/05/2022 by Keatons, Hackney"
8746,1 bedroom apartment for sale,390000.0,"Reduced on 06/10/2021 by Winkworth, Shoreditch"
12140,3 bedroom flat for sale,380000.0,"Reduced on 23/06/2022 by Bairstow Eves, Bow"
7033,1 bedroom flat for sale,385000.0,"Reduced on 01/06/2022 by Dexters, Hackney"
5954,2 bedroom flat for sale,375000.0,"Added on 25/06/2022 by E10 Homes, Leyton"
12700,1 bedroom flat for sale,350000.0,"Added on 25/03/2022 by Keatons, Bow"
3760,3 bedroom terraced house for sale,475000.0,"Added on 24/05/2022 by Northwood, Epsom"
12449,3 bedroom end of terrace house for sale,475000.0,"Added on 03/05/2022 by Strike, London"
7717,3 bedroom end of terrace house for sale,450000.0,"Added on 17/05/2022 by Goodfellows, Carshalton Beeches"
9597,2 bedroom penthouse for sale,450000.0,"Reduced on 25/06/2022 by Cubitt & West, Sutton"
8643,2 bedroom terraced house for sale,450000.0,"Added on 13/06/2022 by Paul Graham, Carshalton"
4916,2 bedroom house for sale,425000.0,"Reduced on 17/06/2022 by Cromwells Estate Agents, Wallington"
9884,2 bedroom terraced house for sale,425000.0,"Added on 08/09/2021 by Connor Prince, Worcester Park"
3540,1 bedroom flat for sale,350000.0,"Reduced on 02/07/2021 by Chestertons Estate Agents, Wandsworth"
6669,1 bedroom apartment for sale,350000.0,"Added on 04/04/2022 by The Stow Brothers, Walthamstow"
5809,1 bedroom flat for sale,300000.0,"Added on 10/05/2022 by Purplebricks, covering Sutton"
6449,2 bedroom apartment for sale,300000.0,"Added on 17/05/2022 by Nested, Nationwide"
3950,Studio flat for sale,200000.0,"Reduced on 26/12/2021 by Barnard Marcus, Putney"
3487,2 bedroom flat for sale,163125.0,Added on 27/05/2022 by Optivo Homes Ltd
7414,1 bedroom flat for sale,250000.0,"Reduced on 07/05/2022 by Kings Group, Walthamstow"
12105,Studio flat for sale,280000.0,"Added on 23/09/2021 by Stirling Ackroyd, Canary Wharf"
10065,1 bedroom flat for sale,250000.0,"Added on 17/05/2022 by Butler & Stag, London"
9835,Studio flat for sale,200000.0,"Reduced on 22/04/2022 by Lancasters, Banstead"
12820,2 bedroom maisonette for sale,250000.0,"Added on 06/06/2022 by Barnard Marcus, Sutton"
6010,1 bedroom apartment for sale,230000.0,"Added on 15/03/2022 by Paul Graham, Carshalton"
3990,2 bedroom apartment for sale,365000.0,"Reduced on 04/04/2022 by Ivy Gate, London - Sales & Lettings"
5900,2 bedroom flat for sale,595000.0,"Added on 01/07/2022 by Chase Buchanan, St Margarets & East Twickenham"
4691,3 bedroom end of terrace house for sale,574950.0,"Added on 04/05/2022 by Blue Estate Agents Ltd, Heston, Hounslow"
