new_id,Station_Prox,type,bedrooms,bathrooms,size,other_key_info,bullet_points,station_info,hold_type,short_description,long_description
7218,0.1,Studio,,,412 sq. ft.;(38 sq. m.),,,,,,
11424,0.2,Ground Flat,2.0,1.0,570 sq. ft.;(53 sq. m.),,Spacious Garden Flat;Chain Free Sale;Close to Brixton Town Centre;Close to Loughborough Junction and Denmark Hill BR;Ideal for Kings College Hospital;Needs a Little TLC;No Service Charge ;92 Year Lease ,"[(0.2, 'Loughborough Junction Station', 'svg-nationalrail'), (0.4, 'Denmark Hill Station', 'svg-nationalrail'), (0.7, 'Brixton Station', 'svg-nationalrail')]",Tenure:  Leasehold,SOLD STC;;svg-camera=15;;svg-virtual-tour=1;;svg-floorplan=1;;Read more,"   A brilliant two double bedroom ground floor garden flat situated in a pretty Victorian era built building in a quiet and popular road that's close to Camberwell, Kings College Hospital and Brixton (with its fabulous nightlife and social scene). The flat is within a stone's throw of transport, via Thameslink (Loughborough Junction); up into London City or towards Herne Hill, Wimbledon or further afield towards Gatwick or via London Overground (Denmark Hill) to Peckham, Greenwich and East and North London. The local area is improving with new bars, pubs and restaurants opening frequently in Camberwell and Brixton and supermarkets just around the corner.  There's also a great local library (Carnegie) and fitness centre too and there's also Brixton village, Herne Hill farmers market on a Sunday, Pop Brixton, Ritzy cinema...the list goes on and on. The flat itself would benefit from some upgrading, but is sizeable at 53sqm, has a nice layout and a fantastic period style larger adjacent to the kitchen, and offers a blank canvas for someone to turn into a fabulous flat.  It's private garden is south facing.  The property is conveniently located within a short distance of Loughborough Junction, Brixton and Denmark Hill stations as well as numerous local bus routes and an array of local shops close-by and in nearby Camberwell.  Brixton, within easy access, boasts an array of vibrant shops, bars, cafes and restaurants in addition to indoor markets and the site of the famous O2 Brixton Academy music venue. Neighbouring Herne Hill provides still further cafes, shops and amenities, as well as a delightful Sunday farmers market.  Being offered chain free. Service charges Annually - £0 (maintained on an as and when basis). Ground Rent Annually - £100 Remaining lease term - 92 years. Chain free sale.   "
5603,0.3,Maisonette,2.0,1.0,,,First floor maisonette;Two bedrooms;Light & bright reception room;Popular location;Private garden;Council Tax Band C,"[(0.3, 'Petts Wood Station', 'svg-nationalrail'), (0.9, 'Orpington Station', 'svg-nationalrail'), (1.6, 'St. Mary Cray Station', 'svg-nationalrail')]",,svg-camera=10;;svg-floorplan=1;;Read more,"   This two bedroom first floor maisonette is located within a short walk of Petts Wood shops & station & is offered with vacant possession. The accommodation comprises two spacious bedrooms, a light & bright reception room & a fitted kitchen plus a fitted bathroom suite. Outside, the property has it's own secluded rear garden. This property is sure to attract much interest & your early viewing comes highly recommended.  HALLWAY    Meter cupboard. Fitted carpet. Loft hatch.   LOUNGE   14' 0"" x 10' 3"" (4.27m x 3.12m)  Double glazed bay window to the front. Fitted carpet. Radiator.   KITCHEN   7' 2"" x 7' 0"" (2.18m x 2.13m)  Double glazed window to the rear. A fitted kitchen with a range of wall and base units with complementing work surfaces. Space and plumbing for dishwasher. Built in oven with 4 burner gas hob and fitted extractor fan over. Wall mounted Baxi boiler.   MASTER   BEDROOM   10' 5"" x 10' 0"" (3.18m x 3.05m)  Double glazed window to the rear. Range of built in wardrobes. Fitted carpet. Radiator.   BEDROOM   TWO   9' 7"" x 9' 5"" (2.92m x 2.87m)  Double glazed window to the front. Fitted carpet. Radiator.   BATHROOM    Double glazed window to the side. Three piece suite comprising a panel bath with mixer tap and shower attachment. Low level W.C. Pedestal wash hand basin with mixer tap and splash back tiling. Wall mounted heated towel rail. Laminate flooring and part tiled walls.  GARDEN     60' ' (18.29m) Approx  Laid to lawn.   DIRECTIONS    From Petts Wood, Station Square, proceed down Fairway and right into Tudor Way. Left at mini-roundabout into Towncourt Lane and second right is Shepperton Road.  Brochures (PL) 4-Page Portr..."
10418,0.2,Maisonette,2.0,1.0,,,Two Bedrooms;One Bathroom;One Reception;Parking;Garden;One Kitchen;Semi-Detached;Accessible Garage,"[(0.2, 'Edgware Station', 'svg-underground'), (0.8, 'Canons Park Station', 'svg-underground'), (0.9, 'Burnt Oak Station', 'svg-underground')]",,SOLD STC;;svg-camera=17;;svg-floorplan=1;;Read more,"Benjamin Stevens are pleased to offer this two bedroom, maisonette property. Conveniently located within walking distance of local amenities of shops and Edgware Station. This property consists of two double bedrooms, a family bathroom, one reception room and a fitted kitchen. There is also a private rear garden with accessible garage. This property has been recently refurbished to a high standard.  An early viewing is highly recommended so please call Benjamin Stevens on  . Front Of House  -  Bedroom One  -  Bedroom Two  -  Bathroom  -  Reception  -  Back Of House  -  Garden  -  Kitchen  -  Brochures Manor Park Crescent, Edgware Brochure"
10037,0.3,Flat,2.0,1.0,529 sq. ft.;(49 sq. m.),,"Delightful top floor 2 double bedroom flat;Bright and welcoming reception with room to dine;Open-plan kitchen with integrated appliances;In close proximity to a wealth of bars, restaurants and shops;Well-presented bathroom with chic design;Chain free sale;Moments from Bromley North and Bromley South railway stations;Set near plenty of parks such as Church House Gardens & Queensmead","[(0.3, 'Bromley North Station', 'svg-nationalrail'), (0.5, 'Bromley South Station', 'svg-nationalrail'), (0.5, 'Shortlands Station', 'svg-nationalrail')]",,svg-camera=8;;svg-virtual-tour=1;;svg-floorplan=2;;Read more,"Located in the centre of Bromley, this beautiful 2 double bedroom top floor flat presents lovely accommodation among fantastic amenities. It boasts a stunning open-plan layout complemented by light and airy interiors. Universal House is set in the heart of Bromley, with the bars, restaurants and shops just moments away. It benefits from an abundance of local parks as well as convenient access to Bromley North and Bromley South railway stations. Brochures Property details Super sized images"
8329,0.1,Apartment,2.0,1.0,,,PENTHOUSE APARTMENT;DUAL ROOF TERRACES 550 SQFT +;ICONIC VIEWS;CONCIERGE & GYM;ZONE 1 TUBE STATION;FLOODED WITH NATURAL LIGHT,"[(0.1, 'Battersea Power Station', 'svg-underground'), (0.3, 'Battersea Park Station', 'svg-nationalrail'), (0.4, 'Queenstown Road (Battersea) Station', 'svg-nationalrail')]",Tenure:  Leasehold,Read more,"SUMMARY A spectacular PENTHOUSE apartment with wrap around roof terrace giving ICONIC VIEWS of Battersea Power Station and just moments from the ZONE 1 Power Station Tube, viewing is essential. For more information CLICK HERE... DESCRIPTION This fifth floor penthouse apartment with views of Battersea Power Station and adjacent to the new Zone 1 Tube station is everything you could want for a London Lifestyle. With a wraparound roof terrace giving both sunrise and sunset dining/entertaining options you will enjoy life to the full in this apartment. The main reception has an open plan integrated breakfasting kitchen with dual aspect floor to ceiling windows and direct access to the roof terrace. There are two double bedrooms, both with direct access to the large westerly roof terrace, giving views of the iconic Battersea Power Station and evening sunsets. There is a well-proportioned family bathroom. Further benefits include wooden flooring throughout the main living areas, ample storage, lift access, and door entry system. There is also an on-site concierge and gym. Viridian Apartments are adjacent to the Zone 1 Battersea Power Station and just a few minutes' walk from the amenities, cafes, bars & restaurants and boutique gyms of the power station as well as Battersea Park and the River Thames. Other transport option include Thames Clipper water ferry, mainline trains from both Battersea Park & Queenstown Road, as well as buses to Chelsea and beyond. We currently hold lease details as displayed above, should you require further information please contact the branch.  Please note additional fees could be incurred for items such as leasehold packs. 1. MONEY LAUNDERING REGULATIONS: Intending purchasers will be asked to produce identification documentation at a later stage and we would ask for your co-operation in order that there will be no delay in agreeing the sale.
 2. General: While we endeavour to make our sales particulars fair, accurate and reliable, they are only a general guide to the property and, accordingly, if there is any point which is of particular importance to you, please contact the office and we will be pleased to check the position for you, especially if you are contemplating travelling some distance to view the property.
 3. The measurements indicated are supplied for guidance only and as such must be considered incorrect.
 4. Services: Please note we have not tested the services or any of the equipment or appliances in this property, accordingly we strongly advise prospective buyers to commission their own survey or service reports before finalising their offer to purchase.
 5. THESE PARTICULARS ARE ISSUED IN GOOD FAITH BUT DO NOT CONSTITUTE REPRESENTATIONS OF FACT OR FORM PART OF ANY OFFER OR CONTRACT. THE MATTERS REFERRED TO IN THESE PARTICULARS SHOULD BE INDEPENDENTLY VERIFIED BY PROSPECTIVE BUYERS OR TENANTS. NEITHER SEQUENCE (UK) LIMITED NOR ANY OF ITS EMPLOYEES OR AGENTS HAS ANY AUTHORITY TO MAKE OR GIVE ANY REPRESENTATION OR WARRANTY WHATEVER IN RELATION TO THIS PROPERTY. Brochures PDF Property Particulars Full Details"
9202,0.8,Detached,4.0,2.0,"2,607-3,603 sq. ft.;(242-335 sq. m.)",,,"[(0.8, 'Raynes Park Station', 'svg-nationalrail'), (1.0, 'New Malden Station', 'svg-nationalrail'), (1.5, 'Motspur Park Station', 'svg-nationalrail')]",Tenure:  Freehold,Read more,"This well laid out family home has been thoughtfully extended and well maintained, and allows for further extension subject to necessary planning permission.  The wide entrance hall leads to a double reception room, currently being used as a drawing room and dining room. A bright conservatory looking out to the garden is fitted with custom blinds and stretches to nearly the full width of the house, being accessed through both the dining room and kitchen. The sleek, modern kitchen is fully fitted with integrated appliances and units. On the ground floor there is also a full length utility room running from the front to the back of the house, a garage and shower room.  The principal bedroom is located to the rear of the house on the first floor, overlooking the pretty garden. It has plenty of storage and a good sized bathroom with two sinks. There are three further bedrooms on this floor, two have built in storage and one has an en-suite shower room. There is a separate WC on this floor.  To the rear of the property is the beautiful west facing garden with a spacious patio area, filled with mature trees and well kept flower beds. To the front there is off street parking for approximately three cars. Brochures Particulars"
3296,0.4,Flat,2.0,1.0,,,Two Double Bedrooms;Second Floor;Excellent Dimensions;Gas Central Heating;uPVC Double Glazing;Garage In Block;Share Of Freehold;Within Close Proximity To Enfield Chase Rail Station,"[(0.4, 'Gordon Hill Station', 'svg-nationalrail'), (0.4, 'Enfield Chase Station', 'svg-nationalrail'), (0.8, 'Enfield Town Station', 'svg-nationalrail')]",,svg-camera=10;;svg-floorplan=1;;Read more,"Baker and Chase are delighted to present this 2 double bedroom 2nd floor property with private garage and share of the freehold, in an excellent location in West Enfield.  Offered in very good condition, the accommodation begins via a large hallway leading to a spacious lounge with large windows throughout allowing for lots of natural light. A modern kitchen follows offering plenty of built in storage and worktop space. A  family bathroom suite is on offer next and the accommodation concludes with two generously sized double bedrooms.  Externally, the property benefits from a private garage and communal gardens. The property is sure to appeal to a number of people, including first time buyers, families and buy-to-let investors alike. The location is undoubtedly a key feature as the property is positioned directly off of Windmill Hill allowing access to local shops and restaurants which include Waitrose and Tesco Express as well as Enfield Chase B.R station which serves Moorgate via Finsbury Park (Victoria & Piccadilly Lines) in approximately 30 minutes. Enfield Town and its range of shopping facilities are also only a short distance away. Tenure - Share of Freehold  Lease term remaining - 950+ years Ground Rent - Nil Service Charge - £1402 per annum approx Council Tax Band D Front  -  Inner Hallway  - Two storage cupboards, telephone entry system, radiator, doors leading to: lounge, bedroom one, bedroom two and bathroom. Lounge  - Radiator, uPVC double glazed window to front aspect, coving to ceiling, access to kitchen. Kitchen  - uPVC double glazed window to side aspect, eye and base level units, wall mounted 'Vaillant' combination boiler. stainless steel sink with mixer tap, part-tiled walls, integrated fridge/freezer, integrated electric oven, fitted electric hob with extractor over, space for washing machine, space for dishwasher. Bedroom One  - Radiator, uPVC double glazed window to front aspect, coving to ceiling, fitted wardrobe. Bedroom Two  - Radiator, uPVC double glazed window to front aspect, fitted wardrobe, coving to ceiling. Bathroom  - Radiator, tiled walls, panelled bath with mixer tap and shower attachment, wash hand basin with mixer tap and storage under, low level WC, shaving point, extractor fan. External  - Communal gardens to front and rear. garage in block. Disclaimer  - Consumer Protection from Unfair Trading Regulations 2008: The Agent has not tested any apparatus, equipment, fixtures and fittings or services and so cannot verify that they are in working order or fit for the purpose. A Buyer is advised to obtain verification from their Solicitor or Surveyor. References to the Tenure of a Property are based on information supplied by the Seller. The Agent has not had sight of the title documents. A Buyer is advised to obtain verification from their Solicitor. Items shown in photographs are NOT included. They may however be available by separate negotiation. Measurements: These approximate room sizes are only intended as general guidance. You must verify the dimensions carefully before ordering carpets or any built-in furniture. Services: Please note we have not tested the services or any of the equipment or appliances in this property, accordingly we strongly advise prospective buyers to commission their own survey or service reports before finalising their offer to purchase. Copyright: You may download, store and use the material for your own personal use and research. You may not republish, retransmit, redistribute or otherwise make the material available to any party or make the same available on any website, online service or bulletin board of your own or of any other party or make the same available in hard copy or in any other media without the website owner's express prior written consent. The website owner's copyright must remain on all reproductions of material taken from this website. Anti-Money Laundering Regulations: Intending parties will be asked to produce identification documentation at offer stage and we would ask for your co-operation in order that there will be no delay in agreeing the sale/rental. Availability: Interested parties must check the availability of any property and make an appointment to view before embarking on any journey to see a property. Brochures Bycullah Road, Enfield, EN2"
10792,0.8,Semi-Detached,4.0,2.0,,,,"[(0.8, 'Romford Station', 'svg-nationalrail'), (1.7, 'Gidea Park Station', 'svg-nationalrail'), (1.9, 'Chadwell Heath Station', 'svg-nationalrail')]",Tenure:  Freehold,SOLD STC;;svg-camera=18;;svg-virtual-tour=1;;svg-floorplan=1;;Read more,"*GUIDE PRICE £500,000 - £550,000* • NO ONWARD CHAIN • FOUR BEDROOMS • OFF STREET PARKING • CLOSE TO ROMFORD MAINLINE RAILWAY STATION • TWO RECEPTION ROOMS • UTILITY AREA • CLOSE TO MAJOR ROAD LINKS SUCH AS A12 AND M25 • COUNCIL TAX BAND D Porch Smooth ceiling, door to: Hallway Stairs to first floor, radiator, under stair storage cupboard, smooth ceiling, cornice coving, wood effect laminate flooring, doors to: Living Room 14'8 x 14'3.Double glazed window to front, radiator, smooth ceiling, cornice coving, opens to: Dining Room 13'1 x 11'10.Double glazed patio door to rear, radiator, feature fireplace, smooth ceiling, cornice coving. Utility Room Wall mounted unit, plumbing for washing machine and dryer, smooth ceiling, cornice coving, doors to: Wet Room 6' x 4'.Wash hand basin, heated towel rail, low level WC, tiled walls, extractor fan, smooth ceiling, cornice coving. Kitchen 12'4 x 11'11.Double glazed window to side, double glazed french doors to rear, radiator, matching base and wall mounted units, stainless steel sink with drainer and mixer tap over,  integrated Bosch oven with ceramic Neff hob over, extractor fan, boiler, smooth ceiling, cornice coving. First Floor Landing Airing cupboard, storage cupboard, loft access, smooth ceiling, cornice coving, doors to: Bedroom One 14'10 x 11'8.Double glazed window to front, radiator, smooth ceiling, cornice coving. Bedroom Two 13'1 x 12'.Double glazed window to rear, radiator, smooth ceiling, cornice coving. Bedroom Three 11'11 x 11'10.Double glazed window to rear, radiator, smooth ceiling, cornice coving. Bedroom Four 10'4 x 5'10.Double glazed window to front, radiator, smooth ceiling, cornice coving. Bathroom Obscure double glazed window to side, radiator, pedestal wash hand basin, low level WC, panelled bath with shower over, tiled walls, smooth ceiling, tiled flooring. Garden 80ft.Patio, remainder laid to lawn, two sheds, outside tap. Front Of Property Parking for multiple vehicles. Brochures Particulars"
11639,0.3,Flat,1.0,1.0,,,Modern Flat;One Bedroom;One Bathroom;Concierge;Residents Gym;Close To Putney Bridge,"[(0.3, 'Putney Bridge Station', 'svg-underground'), (0.3, 'Putney Station', 'svg-nationalrail'), (0.4, 'East Putney Station', 'svg-underground')]",Tenure:  Leasehold,svg-camera=5;;svg-floorplan=1;;Read more,"A modern flat in a wonderful location close to Putney Bridge and Wandsworth park. Brewhouse Lane is a premier development by St George built around 2004. Brewhouse Lane is off Putney Bridge Road which runs parallel to the River Thames alongside Wandsworth Park and connects to Putney High Street. East Putney underground (District Line), Putney mainline and the River Boat service are close by, as are numerous bus links. Brochures Brochure 1"
