new_id,date_scraped,analyticsBranch.agentType,analyticsBranch.branchId,analyticsBranch.branchName,analyticsBranch.branchPostcode,analyticsBranch.brandName,analyticsBranch.companyName,analyticsBranch.companyTradingName,analyticsBranch.companyType,analyticsBranch.displayAddress,analyticsBranch.pageType,analyticsProperty.added,analyticsProperty.auctionOnly,analyticsProperty.beds,analyticsProperty.businessForSale,analyticsProperty.country,analyticsProperty.currency,analyticsProperty.floorplanCount,analyticsProperty.furnishedType,analyticsProperty.hasOnlineViewing,analyticsProperty.imageCount,analyticsProperty.latitude,analyticsProperty.longitude,analyticsProperty.letAgreed,analyticsProperty.lettingType,analyticsProperty.maxSizeAc,analyticsProperty.maxSizeFt,analyticsProperty.minSizeAc,analyticsProperty.minSizeFt,analyticsProperty.ownership,analyticsProperty.postcode,analyticsProperty.preOwned,analyticsProperty.price,analyticsProperty.priceQualifier,analyticsProperty.propertyId,analyticsProperty.propertySubType,analyticsProperty.propertyType,analyticsProperty.retirement,analyticsProperty.selectedCurrency,analyticsProperty.selectedPrice,analyticsProperty.soldSTC,analyticsProperty.videoProvider,analyticsProperty.viewType,Unnamed: 46
7119,2022-06-22 14:47:19,ea_sales,46194,Wembley,,Ellis & Co,The Property Franchise Group,The Property Franchise Group,iea,"4 Ealing Road,
Wembley,
HA0 4TL",Standard,20220516,False,3,False,GB,GBP,1,Not Specified,False,15,51.552429,-0.275947,False,Long term,,,,,Non-shared ownership,HA9 6NB,Resale,600000,None,123394232,Semi-Detached,Houses,False,,,True,External Link,Current,
8662,2022-06-22 14:53:25,ea_sales,7469,West Wickham,,Allen Heritage,Allen Heritage,Allen Heritage,iea,"131 High Street 
West Wickham
BR4 0LU",Standard,20220217,False,1,False,GB,GBP,2,Not Specified,False,11,51.3769,-0.025112,False,Long term,,,,,Non-shared ownership,BR4 9PZ,Resale,270000,None,120085775,Flat,Flats / Apartments,False,,,False,No Video,Current,
5603,2022-06-22 16:08:45,ea_dual,20894,Petts Wood,,Edmund Estate Agents,Edmund Estate Agents ,Edmund Estate Agents ,iea,"26 Station Square,
Petts Wood,
Orpington,
BR5 1NA",Microsite,20220514,False,2,False,GB,GBP,1,Not Specified,False,10,51.38413,0.07399,False,Long term,,,,,Non-shared ownership,BR5 1DN,Resale,310000,None,123372716,Maisonette,Flats / Apartments,False,,,False,No Video,Current,
7168,2022-06-22 16:09:47,ea_sales,9182,Orpington,,Robinson Jackson,Robinson Jackson,,corporate,"292 High Street,
Orpington,
BR6 0NF",Microsite,20220128,False,2,False,GB,GBP,1,Not Specified,False,9,51.358277,0.10272,False,Long term,,,,,Non-shared ownership,BR6 6ES,Resale,315000,None,119244281,Maisonette,Flats / Apartments,False,,,True,No Video,Current,
11017,2022-06-22 16:15:48,ea_sales,370,Biggin Hill,,Bairstow Eves,Countrywide UK Sales,,corporate,"134 Main Road, Biggin Hill, Kent, TN16 3BA",Standard,20220526,False,2,False,GB,GBP,1,Not Specified,False,15,51.30904,0.03803,False,Long term,,,,,Non-shared ownership,TN16 3JY,Resale,300000,Guide Price,123718130,Flat,Flats / Apartments,False,,,False,Embedded,Current,
10037,2022-06-22 18:11:01,ea_dual,137360,Bromley,,Foxtons,Foxtons,Foxtons,corporate,"1 East Street,
Bromley,
BR1 1QE",Microsite,20220531,False,2,False,GB,GBP,2,Not Specified,False,8,51.406197,0.01341,False,Long term,0.012144168962351,529.0,0.012144168962351,529.0,Non-shared ownership,BR1 1QA,Resale,325000,None,85377150,Flat,Flats / Apartments,False,,,False,External Link,Current,
10475,2022-06-22 18:58:27,ea_sales,55396,Beckenham,,Kinleigh Folkard & Hayward - Sales,Kinleigh Folkard & Hayward,Kinleigh Folkard & Hayward,corporate,"Albermarle House Albemarle Road,
Beckenham,
BR3 5HZ",Microsite,20220429,False,2,False,GB,GBP,1,Not Specified,False,15,51.41046,-0.0239,False,Long term,,,,,Non-shared ownership,BR3 5LN,Resale,350000,Offers in Excess of,122927588,Flat,Flats / Apartments,False,,,False,No Video,Current,
10429,2022-06-22 20:28:46,ea_dual,50755,Bromley,,Langford Russell,Acorn Group,Acorn Group,corporate,"19-23 Masons Hill,
Bromley,
BR2 9HD",Standard,20220601,False,2,False,GB,GBP,1,Not Specified,False,10,51.39709,0.00615,False,Long term,,,,,Non-shared ownership,BR2 0QB,Resale,400000,Guide Price,85417542,Flat,Flats / Apartments,False,,,False,No Video,Current,
10841,2022-06-23 11:59:50,ea_sales,69616,Church Crookham,,Check 4 Houses,Check 4 Houses,Check 4 Houses,iea,"23 Broom Acres,
Fleet,
GU52 7UX",Standard,20220615,False,2,False,GB,GBP,1,Not Specified,False,8,51.52957,-0.140122,False,Long term,,,,,Non-shared ownership,NW1 3RJ,Resale,480000,None,123947954,Apartment,Flats / Apartments,False,,,False,No Video,Current,
3706,2022-06-23 12:10:05,ea_dual,40491,Kentish Town,,Martyn Gerrard,Martyn Gerrard,,iea,"304 Kentish Town Road,
London,
NW5 2TH",Microsite,20211012,False,3,False,GB,GBP,1,Not Specified,False,8,51.550426,-0.135536,False,Long term,,,,,Non-shared ownership,NW5 2QN,Resale,425000,Guide Price,114710819,Apartment,Flats / Apartments,False,,,True,External Link,Current,
12002,2022-06-23 13:50:37,ea_sales,52490,Orpington,,Thomas Brown Estates,Thomas Brown Estate Agents,Thomas Brown Estate Agents,iea,"285 High Street,
Orpington,
BR6 0NN",Microsite,20220613,False,3,False,GB,GBP,1,Not Specified,False,11,51.36158,0.09308,False,Long term,,,,,Non-shared ownership,BR6 9LF,Resale,650000,None,85649115,Semi-Detached,Houses,False,,,True,No Video,Current,
3816,2022-06-23 13:51:19,ea_sales,55411,Bromley,,Kinleigh Folkard & Hayward - Sales,Kinleigh Folkard & Hayward,Kinleigh Folkard & Hayward,corporate,"1 High Street,
Bromley,
BR1 1LF",Microsite,20220505,False,3,False,GB,GBP,1,Not Specified,False,16,51.42496,0.02262,False,Long term,,,,,Non-shared ownership,BR1 5BS,Resale,650000,Offers in Excess of,85210929,Semi-Detached,Houses,False,,,False,External Link,Current,
11211,2022-06-23 18:33:46,ea_dual,13880,Greenford Sales,,Brian Cox,Brian Cox,,iea,"374 Oldfield Lane North,
Greenford,
UB6 8PU",Microsite,20220315,False,2,False,GB,GBP,1,Not Specified,False,7,51.531803,-0.348612,False,Long term,,,,,Non-shared ownership,UB6 8RT,Resale,329950,None,121118324,Maisonette,Flats / Apartments,False,,,False,No Video,Current,
